vendor,product_area,release_date,title,description,source_url,source_type,topic_category,topic_subcategory,release_substance,is_breaking_change,confidence
Anthropic,Claude Code,2026-05-19,Claude Code 2.1.145,"Added claude agents --json to list live Claude sessions as JSON for scripting (tmux-resurrect, status bars, session pickers) Added agent_id and parent_agent_id attributes to claude_code.tool OTEL spans, and fixed trace parenting so background subagent spans nest under the dispatching Agent tool span Status line JSON input now includes GitHub repo and PR information when detected /plugin Discover and Browse screens now show a plugin’s commands, agents, skills, hooks, and MCP/LSP servers before in",https://code.claude.com/docs/en/changelog,changelog,agent/tooling,MCP/tooling,substantive,False,high
Anthropic,Claude Code,2026-05-19,Claude Code 2.1.144,"Added /resume support for background sessions — sessions started via claude --bg or agent view now appear alongside interactive ones, marked with bg Added elapsed duration to background subagent completion notifications (e.g. “Agent completed · 3h 2m 5s”) The /plugin browse and discover panes now show when a plugin was last updated /model now changes the model for the current session only; press d in the model picker to set a default for new sessions Renamed “extra usage” to “usage credits” acro",https://code.claude.com/docs/en/changelog,changelog,model release,MCP/tooling,substantive,False,high
Anthropic,Claude Code,2026-05-15,Claude Code 2.1.143,"Added plugin dependency enforcement: claude plugin disable now refuses when another enabled plugin depends on the target (with a copy-pasteable disable-chain hint), and claude plugin enable force-enables transitive dependencies Added projected context cost (per-turn and per-invocation token estimates) to the /plugin marketplace browse pane Added worktree.bgIsolation: ""none"" setting to let background sessions edit the working copy directly without EnterWorktree , for repos where worktrees are imp",https://code.claude.com/docs/en/changelog,changelog,agent/tooling,MCP/tooling,substantive,False,high
Anthropic,Claude Code,2026-05-14,Claude Code 2.1.142,"Added new claude agents flags: --add-dir , --settings , --mcp-config , --plugin-dir , --permission-mode , --model , --effort , and --dangerously-skip-permissions to configure dispatched background sessions Fast mode now uses Opus 4.7 by default (previously Opus 4.6). Set CLAUDE_CODE_OPUS_4_6_FAST_MODE_OVERRIDE=1 to pin fast mode to Opus 4.6 Plugins with a root-level SKILL.md and no skills/ subdirectory are now surfaced as a skill The /plugin details pane and claude plugin details now show LSP se",https://code.claude.com/docs/en/changelog,changelog,model release,MCP/tooling,substantive,False,high
Anthropic,Claude Code,2026-05-13,Claude Code 2.1.141,"Added terminalSequence field to hook JSON output so hooks can emit desktop notifications, window titles, and bells without a controlling terminal Added CLAUDE_CODE_PLUGIN_PREFER_HTTPS to clone GitHub plugin sources over HTTPS instead of SSH, for environments without a GitHub SSH key Added ANTHROPIC_WORKSPACE_ID environment variable for workload identity federation — scopes the minted token to a specific workspace when the federation rule covers more than one Added claude agents --cwd <path> to s",https://code.claude.com/docs/en/changelog,changelog,agent/tooling,MCP/tooling,substantive,False,high
Anthropic,Claude Code,2026-05-12,Claude Code 2.1.140,"Improved Agent tool subagent_type matching to accept case- and separator-insensitive values (e.g. ""Code Reviewer"" resolves to code-reviewer ) Updated agent color palette Fixed /goal silently hanging when disableAllHooks or allowManagedHooksOnly is set — now shows a clear message instead of an indicator that never resolves Fixed a regression in settings hot-reload where symlinked settings files caused misattributed change events and spurious ConfigChange hooks Fixed claude --bg failing with “conn",https://code.claude.com/docs/en/changelog,changelog,agent/tooling,agentic coding,maintenance,False,high
Anthropic,Claude Code,2026-05-11,Claude Code 2.1.139,"Added agent view (Research Preview): a single list of every Claude Code session — running, blocked on you, or done. Run claude agents to get started. See https://code.claude.com/docs/en/agent-view Added /goal command: set a completion condition and Claude keeps working across turns until it’s met. Works in interactive, -p , and Remote Control. Shows live elapsed/turns/tokens as an overlay panel Added /scroll-speed command to tune mouse wheel scroll speed with a live preview Added claude plugin d",https://code.claude.com/docs/en/changelog,changelog,agent/tooling,MCP/tooling,substantive,False,high
Anthropic,Claude Code,2026-05-09,Claude Code 2.1.138,Internal fixes,https://code.claude.com/docs/en/changelog,changelog,coding,bug fix,maintenance,False,high
Anthropic,Claude Code,2026-05-09,Claude Code 2.1.137,[VSCode] Fixed extension failing to activate on Windows,https://code.claude.com/docs/en/changelog,changelog,agent/tooling,IDE integration,maintenance,False,high
Anthropic,Claude Code,2026-05-08,Claude Code 2.1.136,"Added CLAUDE_CODE_ENABLE_FEEDBACK_SURVEY_FOR_OTEL to re-enable the session quality survey for enterprises capturing responses through OpenTelemetry Added settings.autoMode.hard_deny for auto mode classifier rules that block unconditionally regardless of user intent or allow exceptions Fixed MCP servers configured in .mcp.json , plugins, and claude.ai connectors silently disappearing after /clear in the VS Code extension, JetBrains plugin, and Agent SDK Fixed a rare login loop where a concurrent ",https://code.claude.com/docs/en/changelog,changelog,agent/tooling,MCP/tooling,substantive,False,high
