release_month,product_area,count
2025-04,Claude Code,27
2025-05,Claude Code,13
2025-06,Claude Code,24
2025-07,Claude Code,23
2025-08,Claude,10
2025-08,Claude Code,19
2025-09,Claude,6
2025-09,Claude Code,15
2025-10,Claude,2
2025-10,Claude Code,20
2025-11,Claude,1
2025-11,Claude Code,18
2025-12,Claude,1
2025-12,Claude Code,17
2026-01,Claude,2
2026-01,Claude Code,26
2026-02,Claude,6
2026-02,Claude Code,28
2026-03,Claude,6
2026-03,Claude Code,20
2026-04,Claude,3
2026-04,Claude Code,26
2026-05,Claude Code,16
