release_date,title,description,topic_category,topic_subcategory,current_release_substance,suggested_release_substance,audit_reason
2026-04-08,Claude Code 2.1.97,"Added focus view toggle ( Ctrl+O ) in NO_FLICKER mode showing prompt, one-line tool summary with edit diffstats, and final response Added refreshInterval status line setting to re-run the status line command every N seconds Added workspace.git_worktree to the status line JSON input, set when the cur",agent/tooling,agentic coding,substantive,substantive,Contains user-visible capability or behavior change
2025-06-30,Claude Code 1.0.36,Web search now takes today’s date into context Fixed a bug where stdio MCP servers were not terminating properly on exit,agent/tooling,MCP/tooling,substantive,substantive,Contains user-visible capability or behavior change
2025-08-27,Claude Code 1.0.94,Vertex: add support for global endpoints for supported models /memory command now allows direct editing of all imported memory files SDK: Add custom tools as callbacks Added /todos command to list current todo items,model release,model support,substantive,substantive,Contains user-visible capability or behavior change
2026-01-21,Claude Code 2.1.15,Added deprecation notification for npm installations - run claude install or see https://docs.anthropic.com/en/docs/claude-code/getting-started for more options Improved UI rendering performance with React Compiler Fixed the “Context left until auto-compact” warning not disappearing after running /c,deprecation,MCP/tooling,substantive,substantive,Contains user-visible capability or behavior change
2026-02-16,Claude Code 2.1.43,Fixed AWS auth refresh hanging indefinitely by adding a 3-minute timeout Fixed spurious warnings for non-agent markdown files in .claude/agents/ directory Fixed structured-outputs beta header being sent unconditionally on Vertex/Bedrock,agent/tooling,agentic coding,substantive,maintenance,"Description dominated by fixes (3 fix signals, 0 add signals)"
2025-04-02,Claude Code 0.2.32,Interactive MCP setup wizard: Run “claude mcp add” to add MCP servers with a step-by-step interface Fix for some PersistentShell issues,agent/tooling,MCP/tooling,substantive,substantive,Contains user-visible capability or behavior change
2026-03-14,Claude Code 2.1.76,Added MCP elicitation support — MCP servers can now request structured input mid-task via an interactive dialog (form fields or browser URL) Added new Elicitation and ElicitationResult hooks to intercept and override responses before they’re sent back Added -n / --name <name> CLI flag to set a displ,agent/tooling,MCP/tooling,substantive,substantive,Contains user-visible capability or behavior change
2025-06-04,Claude Code 1.0.11,Claude Code can now also be used with a Claude Pro subscription Added /upgrade for smoother switching to Claude Max plans Improved UI for authentication from API keys and Bedrock/Vertex/external auth tokens Improved shell configuration error handling Improved todo list handling during compaction,coding,permissions/security,substantive,substantive,Contains user-visible capability or behavior change
2026-05-06,Claude Code 2.1.132,"Added CLAUDE_CODE_SESSION_ID environment variable to the Bash tool subprocess environment, matching the session_id passed to hooks Added CLAUDE_CODE_DISABLE_ALTERNATE_SCREEN=1 env var to opt out of the fullscreen alternate-screen renderer and keep the conversation in the terminal’s native scrollback",deprecation,agentic coding,substantive,substantive,Contains user-visible capability or behavior change
2025-12-02,Claude Code 2.0.56,"Added setting to enable/disable terminal progress bar (OSC 9;4) VSCode Extension: Added support for VS Code’s secondary sidebar (VS Code 1.97+), allowing Claude Code to be displayed in the right sidebar while keeping the file explorer on the left. Requires setting sidebar as Preferred Location in th",agent/tooling,IDE integration,substantive,substantive,Contains user-visible capability or behavior change
