topic_category,topic_subcategory,release_count,substantive_release_count,maintenance_release_count,representative_release_titles,related_academy_courses,coverage_status,coverage_confidence,needs_human_review,notes
coding,IDE integration,21,14,7,Claude Code 2.1.126; Claude Code 2.1.84; Claude Code 2.1.83; Claude Code 2.1.47; Claude Code 2.1.20,,not visible,high,False,
agent/tooling,MCP/tooling,97,85,12,Claude Code 2.1.145; Claude Code 2.1.144; Claude Code 2.1.143; Claude Code 2.1.142; Claude Code 2.1.141,Introduction to Claude Cowork; Introduction to Model Context Protocol; Model Context Protocol: Advanced Topics,covered,high,False,'Introduction to Claude Cowork' contains 'plugin'; 'Introduction to Model Context Protocol' contains 'model context protocol'; 'Model Context Protocol: Advanced Topics' contains 'model context protocol'
agent/tooling,agentic coding,69,54,15,Claude Code 2.1.133; Claude Code 2.1.132; Claude Code 2.1.120; Claude Code 2.1.119; Claude Code 2.1.114,Introduction to Claude Cowork; Introduction to agent skills; Introduction to subagents,covered,high,False,'Introduction to Claude Cowork' contains 'cowork'; 'Introduction to agent skills' contains 'agent skill'; 'Introduction to subagents' contains 'sub-agent'
coding,bug fix,34,0,34,Claude Code 2.1.138; Claude Code 2.1.62; Claude Code 2.1.61; Claude Code 2.1.55; Claude Code 2.1.37,,not visible,high,False,
coding,cli workflow,21,13,8,Claude Code 2.1.18; Claude Code 1.0.109; Claude in Chrome; Claude Code 1.0.83; Claude Code 1.0.42,Claude Code 101; Claude Code in Action; Introduction to Model Context Protocol; Introduction to agent skills; Introduction to subagents,covered,high,False,'Claude Code 101' contains 'claude code'; 'Claude Code in Action' contains 'claude code'; 'Introduction to Model Context Protocol' contains 'cli'; 'Introduction to agent skills' contains 'claude code'; 'Introduction to subagents' contains 'claude code'
deprecation,deprecation,2,2,0,Claude Code 2.0.32; Claude Code 1.0.113,,not visible,high,False,
coding,enterprise/admin,15,14,1,Claude Code 2.1.68; Analytics API for Enterprise plans; Claude Code 2.0.51; Claude Code 1.0.126; Claude’s memory on Enterprise plans,,not visible,high,False,
model release,model support,24,16,8,Claude Design by Anthropic Labs; Claude Code 2.1.112; Claude Code 2.1.111; Claude Code 2.1.36; Claude Opus 4.6 launch,Claude 101; Claude Code 101; Introduction to Claude Cowork; Claude Code in Action; Building with the Claude API; Introduction to Model Context Protocol; Model Context Protocol: Advanced Topics; Claude with Amazon Bedrock; Claude with Google Cloud's Vertex AI; Introduction to agent skills; Introduction to subagents,covered,high,False,'Claude 101' contains 'claude'; 'Claude Code 101' contains 'claude'; 'Introduction to Claude Cowork' contains 'claude'; 'Claude Code in Action' contains 'claude'; 'Building with the Claude API' contains 'claude api'; 'Introduction to Model Context Protocol' contains 'model'; 'Model Context Protocol: Advanced Topics' contains 'model'; 'Claude with Amazon Bedrock' contains 'claude'; 'Claude with Google Cloud's Vertex AI' contains 'anthropic model'; 'Introduction to agent skills' contains 'claude'; 'Introduction to subagents' contains 'claude'
model release,multimodal,6,3,3,Claude Opus 4.7 launch; Claude Opus 4.5 launch; Claude Haiku 4.5 launch,,not visible,high,False,
coding,other,4,0,4,"Location, maps, and calendar access on Claude for iOS and Android; Claude Code 1.0.90; Claude Code 1.0.22; Claude Code 0.2.96",,not visible,high,False,
coding,permissions/security,32,21,11,Claude Code 2.1.113; Claude Code 2.1.98; Claude Code 2.1.92; Claude Code 2.1.77; Claude Code 2.0.45,,not visible,high,False,
pricing/billing,pricing/billing,4,3,1,Work across Excel and PowerPoint; Memory for free users; Claude in Chrome expansion,,not visible,high,False,
