topic_category,topic_subcategory,original_status,revised_status,related_academy_courses,matching_phrase,audit_note,needs_human_review
coding,IDE integration,not visible,not visible,,,"Verified: no course mentions VS Code, JetBrains, IDE, or editor integration.",False
agent/tooling,MCP/tooling,covered,covered,Introduction to Claude Cowork; Introduction to Model Context Protocol; Model Context Protocol: Advanced Topics,"""Introduction to Model Context Protocol"" title explicitly names MCP; ""Model Context Protocol: Advanced Topics"" title explicitly names MCP",Two dedicated MCP courses exist. Verified: explicit title match.,False
agent/tooling,agentic coding,covered,covered,Introduction to Claude Cowork; Introduction to agent skills; Introduction to subagents,"""Introduction to agent skills"" covers agent skills; ""Introduction to subagents"" covers subagents; ""Introduction to Claude Cowork"" covers agentic task loop",Three dedicated courses for agentic capabilities. Verified: explicit title match.,False
coding,bug fix,not visible,not visible,,,Maintenance-only topic (0 substantive). No coverage needed.,False
coding,cli workflow,covered,covered,Claude Code 101; Claude Code in Action,"""Claude Code 101"" and ""Claude Code in Action"" titles explicitly name Claude Code","Two dedicated Claude Code courses. MCP/agent courses removed: ""cli"" was false substring match on ""clients""; agent skills/subagents mention Claude Code but cover agentic topics, not CLI workflow.",False
deprecation,deprecation,not visible,not visible,,,Verified: no course mentions deprecation or migration guidance.,False
coding,enterprise/admin,not visible,not visible,,,"Verified: no course mentions enterprise admin, SSO, workspace, or team management. AI Fluency courses mention ""organizational"" but in context of organizational impact, not admin features.",False
model release,model support,covered,partial,Claude 101; Claude Code 101; Introduction to Claude Cowork; Claude Code in Action; Building with the Claude API; Introduction to Model Context Protocol; Model Context Protocol: Advanced Topics; Claude with Amazon Bedrock; Claude with Google Cloud's Vertex AI; Introduction to agent skills; Introduction to subagents,"""Building with the Claude API"" description says ""working with Anthropic models"" - thematic overlap, not a dedicated model selection/capabilities course","Downgraded: no course explicitly dedicated to model versions, selection, or capabilities comparison. API course covers models as a topic within a broader scope.",True
model release,multimodal,not visible,not visible,,,"Verified: no course explicitly mentions vision, image, audio, or multimodal capabilities.",False
coding,other,not visible,not visible,,,Residual unclassified entries (0 substantive). No coverage needed.,False
coding,permissions/security,not visible,not visible,,,"Verified: no course title or description mentions permissions, security, access control, RBAC, or sandbox.",False
pricing/billing,pricing/billing,not visible,not visible,,,"Verified: no course mentions pricing, billing, or plan management.",False
